Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
List the common terminology used to document normal and abnormal findings in the cardiovascular exam. (EO-7491),Active,,,,,,,
Document a male genitourinary exam (EO-7893),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
Interpret a Basic metabolic panel. (EO-4838),Active,,,,,,,
Demonstrate how to palpate peripheral pulses and to look for peripheral edema. (EO-7489),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
List common normal and abnormal findings of the breast exam. (EO-7547),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format (EO-10857)",Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Interpret a urinalysis. (EO-8677),Active,,,,,,,
Document a breast exam (EO-7551),Active,,,,,,,
Document a cardiovascular exam. (EO-7492),Active,,,,,,,
Determine how to communicate with families and providers around medical errors. (EO-4666),Active,,,,,,,
Identify teaching strategies to effectively convey the desired message. (EO-7046),Active,,,,,,,
Identify the basic landmarks for the cardiovascular exam. (EO-7480),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format (EO-10857)",Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
Demonstrate how to assess for jugular venous distension and elevated JV pressure. (EO-7488),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
List the common terminology used to document normal and abnormal findings in the male genitourinary exam. (EO-7892),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
Define murmur. (EO-7483),Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Define the heart sounds. (EO-7481),Active,,,,,,,
Perform a breast exam (EO-7548),Active,,,,,,,
Describe the steps to incorporate diagnostic reasoning into targeted portions of the physical examination. (EO-9165),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
Utilize a patient’s history to interpret radiographic findings. (EO-6347),Active,,,,,,,
"Inspect, Auscultate, Percuss, and Palpate the Chest and Back. (EO-7498)",Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Describe the different types of murmurs. (EO-7484),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format (EO-10857)",Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Explain the grading system for murmurs. (EO-7485),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Describe the different types of murmurs. (EO-7484),Active,,,,,,,
Describe each heart sound. (EO-7482),Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Explain the grading system for murmurs. (EO-7485),Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
Interpret the findings from a breast exam (EO-7549),Active,,,,,,,
Describe the steps to incorporate diagnostic reasoning into targeted portions of the physical examination. (EO-9165),Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Define abnormal splitting of the second heart sounds. (EO-7486),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
List the order of presentation of the results of  a Basic/complete Metabolic Panel. (EO-7626),Active,,,,,,,
Interpret the findings from the cardiovascular exam. (EO-7490),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
"Define orthostatic hypotension, cardiac tamponade, elevated jugular venous pulsation, edema, the edema quantification scale, and abnormal splitting of the second heart sounds. (EO-7486)",Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
Demonstrate cardiac auscultation techniques. (EO-7487),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format (EO-10857)",Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
Identify cardiac landmarks on the chest (EO-7479),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
Reflect on the strengths; weaknesses and effectiveness of commonly used  instructional methods (e.g.; flipped classroom; small group learning; team based learning; lecture) (EO-7049),Active,,,,,,,
Define murmur. (EO-7483),Active,,,,,,,
List the components of a male genitourinary exam. (EO-7888),Active,,,,,,,
Define pertinent positive and pertinent negative. (EO-7628),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
List common abnormal findings found in the vital signs. (EO-7461),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
Examine the eyes. (EO-7532),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
Interpret a complete blood count. (EO-6344),Active,,,,,,,
Describe the exam of the thyroid; neck; scalp; face. (EO-7530),Active,,,,,,,
01. Interpret normal vital signs. (EO-7469),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Examine the mouth and pharynx. (EO-7535),Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
Examine the ears. (EO-7533),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format (EO-10857)",Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Elicit the patient's expectations of the patient encounter. (EO-4710),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Explain the importance of obtaining patient consequences of a chief complaint. (EO-7431),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
List common abnormal findings found in the vital signs. (EO-7461),Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Define the cardinal components of a chief complaint that are included in an HPI.  (EO-10075),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Examine the eyes. (EO-7532),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Explain the importance of a patient’s perspective regarding the chief complaint. (EO-7629),Active,,,,,,,
Examine the ears. (EO-7533),Active,,,,,,,
Describe the chief complaint within the HPI using the OPQRST method. (EO-7429),Active,,,,,,,
Define a chief complaint. (EO-7428),Active,,,,,,,
Examine the neck. (EO-7536),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
Document a head and neck exam. (EO-7537),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Examine the nose. (EO-7534),Active,,,,,,,
Define muscle tone. (EO-7525),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
List the common terminology used to document normal and abnormal findings in the mental status exam. (EO-7543),Active,,,,,,,
Describe the exam of the thyroid; neck; scalp; face. (EO-7530),Active,,,,,,,
List the components of a Basic Metabolic Panel. (EO-7624),Active,,,,,,,
Explain the importance of obtaining associated symptoms. (EO-7627),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
Describe how the different types of information collected from the history and physical examination can enable clinical reasoning. (EO-7670),Active,,,,,,,
Describe how to grade muscle strength. (EO-7527),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Examine the nose. (EO-7534),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Demonstrate the motor & sensory physical exam on a standardized patient. (EO-7523),Active,,,,,,,
Document a head and neck exam. (EO-7537),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
Provide and receive feedback on information-seeking skills. (EO-9130),Active,,,,,,,
Assess sensory function and localize dysfunction to the major upper and lower extremity nerves. (EO-7528),Active,,,,,,,
Perform an examination of the scalp. (EO-7531),Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
Explain how a chief complaint differs from an HPI. (EO-7430),Active,,,,,,,
Define differential diagnosis and list several approaches to organizing a differential diagnosis. (EO-7838),Active,,,,,,,
Interpret a Basic metabolic panel. (EO-4838),Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
Identify where a chief complaint is located in a History & Physical document. (EO-7432),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Explain the importance of patient’s expectations of the patient encounter. (EO-7630),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
Demonstrate coordination and gait exam on a patient. (EO-7524),Active,,,,,,,
Document a cardiovascular exam. (EO-7492),Active,,,,,,,
Define a chief complaint. (EO-7428),Active,,,,,,,
Elicit the patient's expectations of the patient encounter. (EO-4710),Active,,,,,,,
Define commonly used terminology associated with physical examination findings in diseases of the GI tract. (EO-4762),Active,,,,,,,
Interpret results of diagnostic testing. (EO-8809),Active,,,,,,,
"Review reflex testing, including roots tested, with a focus on the Babinski sign. (EO-7526)",Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Elicit a chief complaint. (EO-4707),Active,,,,,,,
Interpret a complete metabolic panel (liver function tests). (EO-6345),Active,,,,,,,
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format (EO-10857)",Active,,,,,,,
Examine the neck. (EO-7536),Active,,,,,,,
Describe why the order of the H&P is important. (EO-7554),Active,,,,,,,
Identify where a chief complaint section is located in a History & Physical document. (EO-7432),Active,,,,,,,
"Identify and select resources and strategies to teach oneself new information and skills, and assess the credibility of these sources. (EO-9127)",Active,,,,,,,
Utilize first-hand data when providing feedback. (EO-7785),Active,,,,,,,
Perform an examination of the scalp. (EO-7531),Active,,,,,,,
Examine the mouth and pharynx. (EO-7535),Active,,,,,,,
Recognize the importance of self-directed learning/teaching oneself. (EO-9126),Active,,,,,,,
Document an HPI using a narrative format. (EO-7631),Active,,,,,,,
Describe self-directed learning. (EO-9125),Active,,,,,,,
List and describe common diagnostic tests. (EO-7840),Active,,,,,,,
"Document findings from the motor, sensory, reflexes, coordination and gait exam. (EO-7529)",Active,,,,,,,
Document a chief complaint (EO-7433),Active,,,,,,,
List the order of presentation of the results of a Basic/complete Metabolic Panel. (EO-7626),Active,,,,,,,
Create an initial differential diagnosis based on a chief complaint. (EO-8805),Active,,,,,,,
List common normal and abnormal findings of the mental status exam. (EO-7540),Active,,,,,,,
Elicit physical exam features based on the initial differential diagnosis. (EO-8810),Active,,,,,,,
Learn how to evaluate mental status categories. (EO-7521),Active,,,,,,,
These are generic objectives that should be edited (EO-7538),Active,,,,,,,
"Summarize the patient case in an assessment statement using the IDEA (interpretive summary, differential, explanation, alternatives) format. (EO-10857)",Active,,,,,,,
Collect associated symptoms related to the patient’s chief complaint. (EO-06323),Active,,,,,,,
Utilize the shorthand for documentation of a Basic/complete Metabolic Panel. (EO-7625),Active,,,,,,,
Share information with peers and supervisors. (EO-9129),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
Document a chief complaint. (EO-7433),Active,,,,,,,
Describe how to perform the cerebellar function tests. (EO-7522),Active,,,,,,,
Interpret a urinalysis. (EO-4839),Active,,,,,,,
Prioritize the initial differential diagnosis by probability based on the data gathered and interpreted; eliminating those which can be ruled out. (EO-8807),Active,,,,,,,
Given the remaining diagnoses on the differential diagnosis; order diagnostic testing to help rule in or rule out diagnosis. (EO-8808),Active,,,,,,,
Elicit historical factors based on the initial differential diagnosis. (EO-8806),Active,,,,,,,
List the components normally measured when taking vital signs. (EO-7460),Active,,,,,,,
Utilize descriptive and non-evaluative language to provide feedback. (EO-7692),Active,,,,,,,
Re-stratify differential diagnosis based on the results of testing. (EO-8811),Active,,,,,,,
List the components normally measured when taking vital signs. (EO-7460),Active,,,,,,,
"Identify, analyze, synthesize and seek feedback on information needed to address individual learning needs. (EO-9128)",Active,,,,,,,
05. Perform and interpret the findings of the straight leg raise test. (EO-10889),Active,,,,,,,
06. Perform and interpret the findings of the FABER and FADIR tests. (EO-10890),Active,,,,,,,
02. Define common abnormalities associated with the upper limb. (EO-4767),Active,,,,,,,
03. Define muscle tone and review how to localize different symptoms of altered tone. (EO-7654),Active,,,,,,,
04. Perform provocative maneuvers to diagnose subacromial impingement and rotator cuff injury. (EO-10888),Active,,,,,,,
03. Describe provocative exam maneuvers to diagnose cervical radiculopathy. (EO-10887),Active,,,,,,,
Perform Hip Exam. (EO-4777),Active,,,,,,,
02. Perform and interpret the findings of nuchal rigidity. (EO-10886),Active,,,,,,,
07. Perform and interpret the findings of provocative exam maneuvers to diagnose knee ligament rupture.  (EO-10891),Active,,,,,,,
01. Demonstrate the exam of the upper limb on a standardized patient. (EO-7653),Active,,,,,,,
Document a History and Physical (H&P) on hospitalized patients with particular attention to appropriate organization of information (EO-8814),Active,,,,,,,
Document objective information in the physical exam section of the H&P note  (EO-8817),Active,,,,,,,
Document subjective information in the history sections of the H&P note (EO-8816),Active,,,,,,,
Differentiate subjective history from objective exam findings (EO-8815),Active,,,,,,,
List the common terminology used to document normal and abnormal findings in the genitourinary exam. (EO-7661),Active,,,,,,,
Interpret the findings from a genitourinary exam (EO-7660),Active,,,,,,,
01. These are generic objectives that should be edited (EO-7656),Active,,,,,,,
Perform a genitourinary exam (EO-7659),Active,,,,,,,
Document a genitourinary exam (EO-7662),Active,,,,,,,
List common normal and abnormal findings of the genitourinary exam. (EO-7658),Active,,,,,,,
List the components of a genitourinary exam. (EO-7657),Active,,,,,,,
01. Identify teaching strategies to effectively convey the desired message. (EO-7046),Active,,,,,,,
03. Rate the value of teaching in medical school and throughout one’s career. (EO-7048),Active,,,,,,,
02. Utilize a range of teaching methods to conduct an educational activity (e.g.; flipped classroom; team-based learning; lecture; teaching from clinical cases; small group discussion (EO-7047),Active,,,,,,,
04. Reflect on the strengths; weaknesses and effectiveness of commonly used  instructional methods (e.g.; flipped classroom; small group learning; team based learning; lecture) (EO-7049),Active,,,,,,,
01. Describe common heuristics used in medical decision making.  (EO-8783),Active,,,,,,,
01. Celebrate your new residency positions!! (EO-8781),Active,,,,,,,
01. Identify the basic ultrastructural components involved in muscle contraction and describe how they interact to promote muscle fiber shortening. (EO-1285),Active,,,,,,,
03. Describe the basic role of the contractile proteins and cytoskeletal elements in both health and disease. (EO-1287),Active,,,,,,,
Develop a targeted abdominal and pelvic exam based on the patient’s chief complaint and history of present illness.,Active,,,,,,,
"Utilize Evidence-Based Medicine principles (sensitivity, specificity, NPV, PPV) to interpret their physical exam findings.",Active,,,,,,,
,Active,,,,,,,
"04. Demonstrate the impact that structural and social ableism has on people with disabilities, and how discrimination may result in providers developing misconceptions and bias about people with disabilities. (EO-10863)",Active,ADVO2 Neurodevelopmental Disorders; Intellectual & Developmental Disabilities (TO-7100),0,Advocate,M2 EQUI ADVO Panel: Neurodevelopment Disorders; Intellectual and Development Disabilities,,,
06. Discuss how physicians can politically advocate for people with disabilities through legislation and activism. (EO-10865),Active,ADVO2 Neurodevelopmental Disorders; Intellectual & Developmental Disabilities (TO-7100),0,Advocate,M2 EQUI ADVO Panel: Neurodevelopment Disorders; Intellectual and Development Disabilities,,,
02. Provide example of Neurodevelopmental Disorders. (EO-10861),Active,ADVO2 Neurodevelopmental Disorders; Intellectual & Developmental Disabilities (TO-7100),0,Advocate,M2 EQUI ADVO Panel: Neurodevelopment Disorders; Intellectual and Development Disabilities,,,
"05. Strategize on how to reduce bias, communicate effectively and improve patient-centered care for people with disabilities. (EO-10864)",Active,ADVO2 Neurodevelopmental Disorders; Intellectual & Developmental Disabilities (TO-7100),0,Advocate,M2 EQUI ADVO Panel: Neurodevelopment Disorders; Intellectual and Development Disabilities,,,
01. Differentiate between Intellectual and Developmental Disabilities. (EO-10860),Active,ADVO2 Neurodevelopmental Disorders; Intellectual & Developmental Disabilities (TO-7100),0,Advocate,M2 EQUI ADVO Panel: Neurodevelopment Disorders; Intellectual and Development Disabilities,,,
03. Describe how neurodevelopmental disorders and intellectual disabilities may impact patients and their ability to communicate and navigate the challenging health care system. (EO-10862),Active,ADVO2 Neurodevelopmental Disorders; Intellectual & Developmental Disabilities (TO-7100),0,Advocate,M2 EQUI ADVO Panel: Neurodevelopment Disorders; Intellectual and Development Disabilities,,,
09. Identify the ligaments of the ankle joint and how they are compromised in ankle injuries. (EO-0169),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
02. Identify key bony landmarks and ligaments associated with the hip joint and explain the different types of hip dislocations. (EO-0162),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
01. Describe the movements allowed at the hip; knee; and ankle joints. (EO-0161),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
03. Identify the components of the knee joint. (EO-0163),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
05. Recognize how to test for damage to the ACL and PCL of the knee. (EO-0165),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
07. Define the components of the talocrural and subtalar joints. (EO-0167),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
06. Describe the clinical significance of the “unhappy triad”. (EO-0166),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
04. Differentiate between the extracapsular and intracapsular ligaments of the knee joint. (EO-0164),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
08. Describe the location and function of the tibiofibular ligaments. (EO-0168),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
01. Describe the movements allowed at the hip; knee; and ankle joints. (EO-0161),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
05. Recognize how to test for damage to the ACL and PCL of the knee. (EO-0165),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
02. Identify key bony landmarks and ligaments associated with the hip joint and explain the different types of hip dislocations. (EO-0162),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
09. Identify the ligaments of the ankle joint and how they are compromised in ankle injuries. (EO-0169),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
07. Define the components of the talocrural and subtalar joints. (EO-0167),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
06. Describe the clinical significance of the “unhappy triad”. (EO-0166),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
04. Differentiate between the extracapsular and intracapsular ligaments of the knee joint. (EO-0164),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
03. Identify the components of the knee joint. (EO-0163),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
08. Describe the location and function of the tibiofibular ligaments. (EO-0168),Active,ANATO Joints of the Lower Limb (TO-0024),0,Anatomy,"M1 BSci Kara Connors,M1 ANAT Anatomy Lab: MSK Review",,,
Identify solutions -personal; institutional; and legal- to identify and minimize conflicts of interest in research and medicine today. (EO-4957),Active,Applications of Conflicts of Interest  Principals in Medicine  (TO-1362),0,Professional,,,,
Analyze scenarios in which a provider may be faced with a conflict of interest; and how the provider might resolve the situation in an appropriate way. (EO-4958),Active,Applications of Conflicts of Interest  Principals in Medicine  (TO-1362),0,Professional,,,,
Distinguish between a competing and a conflicting interest. (EO-5910),Active,Applications of Conflicts of Interest  Principals in Medicine  (TO-1362),0,Professional,,,,
Define a perceived conflict of interest. (EO-5911),Active,Applications of Conflicts of Interest  Principals in Medicine  (TO-1362),0,Professional,,,,
